,speed,kmh,yaw,rad,pirad,Fuzzy Value
0,speed,kmh,yaw,rad,pirad,0.0
325,1.14E+01,40.89599878,214.7779248,3.748305843,1.193727975,0.8238095238095238
326,1.15E+01,41.43600083,207.5321535,3.621852592,1.153456239,0.8238095238095238
327,1.15E+01,41.29200097,209.0732359,3.648747572,1.16202152,0.8238095238095238
328,1.14E+01,41.21999932,204.7745148,3.573726262,1.138129383,0.8238095238095238
329,1.16E+01,41.8680004,202.9631446,3.542114216,1.128061852,0.8238095238095238
330,1.19E+01,42.91200029,193.610693,3.378895166,1.076081263,0.8238095238095238
331,1.19E+01,42.94800112,188.5348816,3.29031207,1.047870086,0.8238095238095238
332,1.16E+01,41.90400122,188.7480482,3.294032255,1.049054858,0.8238095238095238
333,1.16E+01,41.58000068,192.3099669,3.356194885,1.068851874,0.8238095238095238
334,1.17E+01,42.08399849,184.2993744,3.216393969,1.024329289,0.8238095238095238
335,1.16E+01,41.93999863,194.8611142,3.400717525,1.083031059,0.8238095238095238
336,1.16E+01,41.58000068,178.670847,3.118164869,0.993046137,0.8136371582339978
337,1.13E+01,40.78799971,175.8121124,3.068274213,0.977157393,0.7907893055025219
338,1.13E+01,40.71600151,168.5164643,2.940950511,0.936608443,0.7346728918166776
339,1.12E+01,40.28399849,137.7921329,2.404749265,0.765843715,0.5192285733223952
340,1.10E+01,39.74399986,152.7195009,2.665261796,0.848809489,0.6191932113505154
341,1.11E+01,39.88799971,145.352429,2.536691606,0.807863569,0.5699559876281227
342,1.11E+01,39.78000068,137.4389301,2.398585168,0.763880627,0.51661352258697
343,1.11E+01,39.92400054,139.9123541,2.44175138,0.777627828,0.5333875182741169
344,1.11E+01,40.0680004,139.3692045,2.43227233,0.774609022,0.5298771868939294
345,1.10E+01,39.70799903,135.718399,2.368558447,0.754317977,0.5051437561835955
346,1.07E+01,38.66399917,148.9669173,2.599771681,0.827952765,0.5878905169520189
347,1.09E+01,39.23999863,151.7305718,2.648002998,0.843313057,0.6090945494856662
348,1.08E+01,38.77200166,148.6111291,2.593562462,0.825975307,0.5861623672893636
349,1.09E+01,39.09599878,163.3563745,2.850896588,0.90792885,0.6862472959170699
350,1.09E+01,39.41999932,165.0036847,2.879645457,0.917084541,0.7014434082291713
351,1.09E+01,39.09599878,167.1407626,2.916941756,0.928962343,0.7126240899159371
352,1.11E+01,39.78000068,175.7436587,3.067079558,0.976776929,0.7863742243445448
